035346;SN;Type1;Type2;RSSI1;RSSI2;BAT;DATA
LORA_V100
07/12/2022 15:35:06;009074;21;63;107;85;0;54711.5;228.42;0.02;141453.6;0.22;0.48;-2.8
07/12/2022 15:35:07;009222;21;3;134;93;0;721350.4;228.33;0.04
07/12/2022 15:35:08;009827;21;3;105;86;0;11238.5;229.13;0.0
07/12/2022 15:35:09;009534;21;63;93;76;0;192924.1;228.51;1.04;172104.0;19.58;21.0;-2.8
07/12/2022 15:35:10;009963;21;3;100;84;0;-822006.7;224.46;0.0
07/12/2022 15:35:11;009112;21;3;98;79;0;142743.0;224.74;0.12
07/12/2022 15:35:12;00a082;21;63;108;87;0;416026.4;228.49;0.26;407504.5;2.72;5.32;-2.8
07/12/2022 15:40:02;00a407;21;3;101;82;0;68202.3;225.53;1.42
07/12/2022 15:40:03;009212;21;3;96;77;0;1350507.4;226.54;0.0
07/12/2022 15:40:04;009224;21;3;87;72;0;1270196.4;227.12;0.02
07/12/2022 15:40:05;009629;21;63;106;87;0;1003395.9;225.73;0.06;1369472.2;0.66;1.34;-2.8
07/12/2022 15:40:06;009074;21;63;105;84;0;54711.6;227.41;0.02;141453.8;0.22;0.46;-2.8
07/12/2022 15:40:07;009222;21;3;134;93;0;721351.4;227.25;1.0
07/12/2022 15:40:08;009827;21;3;104;86;0;11238.5;228.77;0.0
07/12/2022 15:40:09;009534;21;63;93;76;0;192932.2;227.88;1.04;172112.7;19.4;20.64;-2.8
07/12/2022 15:40:10;009963;21;3;101;84;0;-822006.7;225.94;0.0
07/12/2022 15:40:11;009112;21;3;98;79;0;142743.0;225.65;0.12
07/12/2022 15:40:12;00a082;21;63;108;87;0;416027.6;227.14;0.24;407506.7;2.76;5.3;-2.8
07/12/2022 15:45:02;00a407;21;3;101;82;0;68208.9;226.08;1.18
07/12/2022 15:45:03;009212;21;3;96;77;0;1350507.4;225.61;0.0
07/12/2022 15:45:04;009224;21;3;87;70;0;1270196.4;226.58;0.02
07/12/2022 15:45:05;009629;21;63;106;86;0;1003396.1;226.0;0.06;1369472.7;0.64;1.36;-2.8
07/12/2022 15:45:06;009074;21;63;105;84;0;54711.7;226.68;0.02;141454.0;0.24;0.46;-2.8
07/12/2022 15:45:07;009222;21;3;134;93;0;721356.6;227.16;1.02
07/12/2022 15:45:08;009827;21;3;105;86;0;11238.5;227.58;0.0
07/12/2022 15:45:09;009534;21;63;93;76;0;192940.4;226.88;1.04;172121.5;19.54;21.04;-2.8
07/12/2022 15:45:10;009963;21;3;101;84;0;-822006.6;225.57;0.0
07/12/2022 15:45:11;009112;21;3;97;79;0;142743.0;226.11;0.12
07/12/2022 15:45:12;00a082;21;63;109;87;0;416028.7;226.78;0.26;407509.0;2.9;5.64;-2.8
07/12/2022 15:50:02;00a407;21;3;102;83;0;68215.7;225.71;1.04
07/12/2022 15:50:03;009212;21;3;96;78;0;1350507.4;225.15;0.0
07/12/2022 15:50:04;009224;21;3;92;76;0;1270196.4;227.85;0.02
07/12/2022 15:50:05;009629;21;63;106;86;0;1003396.4;225.36;0.06;1369473.3;0.64;1.38;-2.8
07/12/2022 15:50:06;009074;21;63;104;84;0;54711.8;227.32;0.02;141454.2;0.22;0.46;-2.8
07/12/2022 15:50:07;009222;21;3;134;93;0;721361.8;228.15;0.98
07/12/2022 15:50:08;009827;21;3;105;85;0;11238.5;226.67;0.0
07/12/2022 15:50:09;009534;21;63;94;76;0;192948.6;227.88;1.04;172130.3;19.56;21.1;-2.8
07/12/2022 15:50:10;009963;21;3;101;84;0;-822006.6;225.84;0.0
07/12/2022 15:50:11;009112;21;3;97;79;0;142743.0;225.56;0.12
07/12/2022 15:50:12;00a082;21;63;109;87;0;416029.8;227.14;0.26;407511.3;2.72;5.38;-2.8
07/12/2022 15:55:02;00a407;21;3;101;82;0;68222.7;225.44;1.1
07/12/2022 15:55:03;009212;21;3;95;76;0;1350507.4;225.24;0.0
07/12/2022 15:55:05;009629;21;63;106;86;0;1003396.7;225.27;0.06;1369473.9;0.62;1.36;-2.8
07/12/2022 15:55:06;009074;21;63;105;84;0;54711.9;227.51;0.02;141454.4;0.24;0.46;-2.8
07/12/2022 15:55:07;009222;21;3;133;93;0;721366.9;227.34;1.0
07/12/2022 15:55:08;009827;21;3;105;86;0;11238.6;225.66;0.0
07/12/2022 15:55:09;009534;21;63;93;75;0;192956.8;227.61;1.06;172139.2;19.6;21.22;-2.8
07/12/2022 15:55:10;009963;21;3;101;84;0;-822006.5;225.01;0.0
07/12/2022 15:55:11;009112;21;3;98;79;0;142743.0;225.1;0.12
07/12/2022 15:55:12;00a082;21;63;109;86;0;416030.9;227.14;0.28;407513.6;2.76;5.7;-2.8
07/12/2022 15:55:13;009224;21;3;89;70;0;1270196.4;227.85;0.02
07/12/2022 16:00:02;00a407;21;3;102;82;0;68229.5;222.13;1.24
07/12/2022 16:00:03;009212;21;3;95;77;0;1350507.4;222.09;0.0
07/12/2022 16:00:04;009224;21;3;83;67;0;1270196.4;224.49;0.02
07/12/2022 16:00:05;009629;21;63;106;87;0;1003396.9;221.6;0.06;1369474.4;0.64;1.34;-2.8
07/12/2022 16:00:06;009074;21;63;105;84;0;54712.0;223.67;0.02;141454.6;0.24;0.46;-2.8
07/12/2022 16:00:07;009222;21;3;134;93;0;721371.9;224.46;1.0
07/12/2022 16:00:08;009827;21;3;105;86;0;11238.6;225.39;0.0
07/12/2022 16:00:09;009534;21;63;93;76;0;192964.9;224.71;1.06;172148.0;19.58;21.18;-2.8
07/12/2022 16:00:10;009963;21;3;101;84;0;-822006.5;221.7;0.0
07/12/2022 16:00:11;009112;21;3;97;79;0;142743.0;222.18;0.12
07/12/2022 16:00:12;00a082;21;63;109;87;0;416032.1;223.36;0.26;407515.9;2.7;5.4;-2.8
07/12/2022 16:05:02;00a407;21;3;102;83;0;68236.2;221.77;1.14
07/12/2022 16:05:03;009212;21;3;95;77;0;1350507.4;222.46;0.0
07/12/2022 16:05:04;009224;21;3;86;74;0;1270196.5;225.04;0.02
07/12/2022 16:05:05;009629;21;63;106;86;0;1003397.2;221.87;0.06;1369475.0;0.64;1.36;-2.8
07/12/2022 16:05:06;009074;21;63;104;84;0;54712.1;225.4;0.02;141454.8;0.24;0.46;-2.8
07/12/2022 16:05:07;009222;21;3;134;93;0;721375.5;225.54;0.04
